	name	period	title	description	id	username	last_day	last_end_time	actual_day	actual_end_time	id_account	chave	extract_date	period_extraction	year	day	id_tb_midia
0	impressions	day	Impressões	Número total de vezes que os objetos de mídia da conta comercial foram visualizados	17841425444516188/insights/impressions/day	bodemeier.digital	2	2024-05-23T07:00:00+0000	0	2024-05-24T07:00:00+0000	17841425444516188	17841425444516188impressions	2024-05-25	05	2024	25	1784142544451618820240525impressionsday
1	reach	day	Alcance	Número total de vezes que os objetos de mídia da conta comercial foram visualizados unicamente	17841425444516188/insights/reach/day	bodemeier.digital	1	2024-05-23T07:00:00+0000	0	2024-05-24T07:00:00+0000	17841425444516188	17841425444516188reach	2024-05-25	05	2024	25	1784142544451618820240525reachday
2	follower_count	day	Número de seguidores	Número total de contas únicas que seguem este perfil	17841425444516188/insights/follower_count/day	bodemeier.digital	0	2024-05-23T07:00:00+0000	0	2024-05-24T07:00:00+0000	17841425444516188	17841425444516188follower_count	2024-05-25	05	2024	25	1784142544451618820240525follower_countday
3	email_contacts	day	Contatos de email	Número total de toques no link de email deste perfil	17841425444516188/insights/email_contacts/day	bodemeier.digital	0	2024-05-23T07:00:00+0000	0	2024-05-24T07:00:00+0000	17841425444516188	17841425444516188email_contacts	2024-05-25	05	2024	25	1784142544451618820240525email_contactsday
4	phone_call_clicks	day	Cliques em ligação telefônica	Número total de toques no link de ligação deste perfil	17841425444516188/insights/phone_call_clicks/day	bodemeier.digital	0	2024-05-23T07:00:00+0000	0	2024-05-24T07:00:00+0000	17841425444516188	17841425444516188phone_call_clicks	2024-05-25	05	2024	25	1784142544451618820240525phone_call_clicksday
5	text_message_clicks	day	Cliques em mensagens de texto	Número total de toques no link de mensagens de texto neste perfil	17841425444516188/insights/text_message_clicks/day	bodemeier.digital	0	2024-05-23T07:00:00+0000	0	2024-05-24T07:00:00+0000	17841425444516188	17841425444516188text_message_clicks	2024-05-25	05	2024	25	1784142544451618820240525text_message_clicksday
6	get_directions_clicks	day	Cliques em Como chegar	Número total de toques no link Como chegar deste perfil	17841425444516188/insights/get_directions_clicks/day	bodemeier.digital	0	2024-05-23T07:00:00+0000	0	2024-05-24T07:00:00+0000	17841425444516188	17841425444516188get_directions_clicks	2024-05-25	05	2024	25	1784142544451618820240525get_directions_clicksday
7	website_clicks	day	Cliques no site	Número total de toques no link do site deste perfil	17841425444516188/insights/website_clicks/day	bodemeier.digital	0	2024-05-23T07:00:00+0000	0	2024-05-24T07:00:00+0000	17841425444516188	17841425444516188website_clicks	2024-05-25	05	2024	25	1784142544451618820240525website_clicksday
8	profile_views	day	Visualizações do perfil	Número total de usuários que visualizaram o perfil da conta comercial no período especificado	17841425444516188/insights/profile_views/day	bodemeier.digital	3	2024-05-23T07:00:00+0000	0	2024-05-24T07:00:00+0000	17841425444516188	17841425444516188profile_views	2024-05-25	05	2024	25	1784142544451618820240525profile_viewsday
9	impressions	day	Impressões	Número total de vezes que os objetos de mídia da conta comercial foram visualizados	17841417530400616/insights/impressions/day	gabgalani	169	2024-05-23T07:00:00+0000	13	2024-05-24T07:00:00+0000	17841417530400616	17841417530400616impressions	2024-05-25	05	2024	25	1784141753040061620240525impressionsday
10	reach	day	Alcance	Número total de vezes que os objetos de mídia da conta comercial foram visualizados unicamente	17841417530400616/insights/reach/day	gabgalani	128	2024-05-23T07:00:00+0000	13	2024-05-24T07:00:00+0000	17841417530400616	17841417530400616reach	2024-05-25	05	2024	25	1784141753040061620240525reachday
11	follower_count	day	Número de seguidores	Número total de contas únicas que seguem este perfil	17841417530400616/insights/follower_count/day	gabgalani	0	2024-05-23T07:00:00+0000	0	2024-05-24T07:00:00+0000	17841417530400616	17841417530400616follower_count	2024-05-25	05	2024	25	1784141753040061620240525follower_countday
12	email_contacts	day	Contatos de email	Número total de toques no link de email deste perfil	17841417530400616/insights/email_contacts/day	gabgalani	0	2024-05-23T07:00:00+0000	0	2024-05-24T07:00:00+0000	17841417530400616	17841417530400616email_contacts	2024-05-25	05	2024	25	1784141753040061620240525email_contactsday
13	phone_call_clicks	day	Cliques em ligação telefônica	Número total de toques no link de ligação deste perfil	17841417530400616/insights/phone_call_clicks/day	gabgalani	0	2024-05-23T07:00:00+0000	0	2024-05-24T07:00:00+0000	17841417530400616	17841417530400616phone_call_clicks	2024-05-25	05	2024	25	1784141753040061620240525phone_call_clicksday
14	text_message_clicks	day	Cliques em mensagens de texto	Número total de toques no link de mensagens de texto neste perfil	17841417530400616/insights/text_message_clicks/day	gabgalani	0	2024-05-23T07:00:00+0000	0	2024-05-24T07:00:00+0000	17841417530400616	17841417530400616text_message_clicks	2024-05-25	05	2024	25	1784141753040061620240525text_message_clicksday
15	get_directions_clicks	day	Cliques em Como chegar	Número total de toques no link Como chegar deste perfil	17841417530400616/insights/get_directions_clicks/day	gabgalani	0	2024-05-23T07:00:00+0000	0	2024-05-24T07:00:00+0000	17841417530400616	17841417530400616get_directions_clicks	2024-05-25	05	2024	25	1784141753040061620240525get_directions_clicksday
16	website_clicks	day	Cliques no site	Número total de toques no link do site deste perfil	17841417530400616/insights/website_clicks/day	gabgalani	0	2024-05-23T07:00:00+0000	0	2024-05-24T07:00:00+0000	17841417530400616	17841417530400616website_clicks	2024-05-25	05	2024	25	1784141753040061620240525website_clicksday
17	profile_views	day	Visualizações do perfil	Número total de usuários que visualizaram o perfil da conta comercial no período especificado	17841417530400616/insights/profile_views/day	gabgalani	1	2024-05-23T07:00:00+0000	0	2024-05-24T07:00:00+0000	17841417530400616	17841417530400616profile_views	2024-05-25	05	2024	25	1784141753040061620240525profile_viewsday
